Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Synchronic,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2020-10-23,6.313,788,101,0,1019041,28.49,['United States of America'],"['Patriot Pictures', 'Rustic Films', 'XYZ Films', 'Love & Death Productions', 'Pfaff & Pfaff Productions']","['Science Fiction', 'Drama', 'Thriller', 'Horror']"
The Rental,"Two couples on an oceanside getaway grow suspicious that the host of their seemingly perfect rental house may be spying on them. Before long, what should have been a celebratory weekend trip turns into something far more sinister.",2020-07-23,5.5,787,88,0,4296804,17.349,['United States of America'],"['Black Bear Pictures', 'Ramona Films']",['Horror']
The Banker,"In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream.",2020-03-06,7.618,783,120,0,0,19.752,['United States of America'],"['Romulus Entertainment', 'Hyphenate Films', 'Iam21 Entertainment', 'Mad Hatter Entertainment']",['Drama']
The Last Days of American Crime,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",2020-06-05,6.609,781,149,0,0,10.724,['United States of America'],"['Radical Studios', 'Mandalay Pictures', 'Radical Pictures']","['Action', 'Crime', 'Thriller']"
We Bare Bears: The Movie,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",2020-06-30,7.819,779,69,0,0,22.892,['United States of America'],['Cartoon Network Studios'],"['Animation', 'Adventure', 'Family', 'Comedy', 'TV Movie']"
Superman: Red Son,"Set in the thick of the Cold War, Red Son introduces us to a Superman who landed in the USSR during the 1950s and grows up to become a Soviet symbol that fights for the preservation of Stalin’s brand of communism.",2020-02-24,7.189,756,84,0,0,13.518,['United States of America'],"['Warner Bros. Animation', 'DC Entertainment']","['Science Fiction', 'Animation', 'Action']"
Possessor,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",2020-10-02,6.364,736,104,0,841334,21.29,"['Australia', 'Canada', 'United Kingdom', 'United States of America']","['Rhombus Media', 'Rook Films', 'Particular Crowd', 'Téléfilm Canada', 'Arclight Films', 'Ingenious Media', 'Ontario Creates', 'Crave', 'Well Go USA Entertainment', 'Elevation Pictures']","['Horror', 'Thriller', 'Science Fiction']"
Fatman,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",2020-10-19,5.522,734,100,20000000,0,14.616,"['United States of America', 'United Kingdom']","['Rough House Pictures', 'Sprockefeller Pictures', 'Mammoth Entertainment', 'Ingenious Media', 'Windy Hill Pictures', 'Carte Blanche']","['Action', 'Comedy', 'Fantasy']"
We Can Be Heroes,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",2020-12-25,6.101,709,97,0,0,29.625,['United States of America'],"['Troublemaker Studios', 'Quick Draw Productions', 'Double R Productions']","['Family', 'Action', 'Fantasy', 'Comedy']"
The Heist of the Century,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",2020-01-16,7.799,706,114,0,7627100,20.856,"['Argentina', 'United States of America']","['Viacom International Inc.', 'Telefe', 'AZ Films', 'MarVista Entertainment', 'Film Tonic', 'INCAA', 'Cine Argentino']","['Comedy', 'Thriller', 'Crime']"
The Craft: Legacy,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,2020-10-28,6.198,704,94,18000000,2300000,25.887,['United States of America'],"['Blumhouse Productions', 'Red Wagon Entertainment', 'Columbia Pictures']","['Horror', 'Drama', 'Fantasy']"
Songbird,"During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",2020-12-10,6.248,676,85,0,620836,29.734,['United States of America'],"['Invisible Narratives', 'Catchlight Films', 'Platinum Dunes', 'STX Films']","['Thriller', 'Romance', 'Drama', 'Mystery']"
Death to 2020,"2020: A year so [insert adjective of choice here], even the creators of Black Mirror couldn't make it up… but that doesn't mean they don't have a little something to add. This comedy event that tells the story of the dreadful year that was — and perhaps still is? The documentary-style special weaves together some of the world's most (fictitious) renowned voices with real-life archival footage.",2020-12-27,6.507,660,71,0,0,18.711,"['United Kingdom', 'United States of America']","['House of Tomorrow', 'Broke and Bones', 'Jesse Collins Entertainment']",['Comedy']
The Empty Man,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",2020-10-22,6.16,652,137,16000000,4796993,23.01,"['South Africa', 'United States of America']","['BOOM! Studios', 'Out of Africa Entertainment', '20th Century Fox']","['Horror', 'Mystery', 'Thriller']"
Lost Girls,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered prostitutes.",2020-01-28,6.092,651,95,0,0,10.971,['United States of America'],"['Archer Gray', 'Langley Park Productions']","['Drama', 'Mystery', 'Thriller', 'History']"
The Night Clerk,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.",2020-02-19,6.216,647,90,0,0,17.625,['United States of America'],"['Highland Film Group', 'WulfPak Productions', 'Saban Films', 'Convergent Media']","['Thriller', 'Crime', 'Drama']"
You Should Have Left,"In an effort to repair their relationship, a couple books a vacation in the countryside for themselves and their daughter. What starts as a perfect retreat begins to fall apart as one loses their grip on reality, and a sinister force tries to tear them apart.",2020-06-18,5.989,646,93,0,0,20.444,['United States of America'],"['Blumhouse Productions', 'Universal Pictures']","['Horror', 'Thriller']"
Relic,"When Edna—the elderly and widowed matriarch of the family—goes missing, her daughter and granddaughter travel to their remote family home to find her. Soon after her return, they start to discover a sinister presence haunting the house and taking control of Edna.",2020-07-03,6.031,644,89,0,2902552,11.42,"['Australia', 'United States of America']","['Nine Stories Productions', 'AGBO', 'Carver Films', 'Film Victoria', 'Screen Australia', 'Russo Brothers']","['Horror', 'Drama', 'Mystery', 'Thriller']"
Rogue,"Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels.",2020-08-20,5.62,640,106,0,139757,17.499,"['South Africa', 'United States of America', 'United Kingdom']","['Mannequin Pictures', 'The Electric Shadow Company', 'Lionsgate', 'Grindstone Entertainment Group', 'Hassell Free Production']","['Action', 'Adventure']"
Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",2020-01-15,6.644,640,96,0,274674,11.454,"['United States of America', 'France']","['Charades', 'Logical Pictures', 'Stand Alone Productions', 'Syncopated Films', 'The Population']","['Drama', 'Thriller']"
The Lovebirds,"A couple experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery. As their journey to clear their names takes them from one extreme – and hilarious - circumstance to the next, they must figure out how they, and their relationship, can survive the night.",2020-05-22,6.137,631,87,0,0,13.111,['United States of America'],"['Paramount', ""Quinn's House"", '3 Arts Entertainment', 'MRC']","['Comedy', 'Action', 'Romance']"
The Prom,"After the PTA of a conservative high school in Indiana bans same-sex couples from attending the annual prom, a gang of flamboyant Broadway stars try to boost their image by showing up to support two lesbian students.",2020-12-02,6.2,630,132,0,187432,10.602,['United States of America'],['Ryan Murphy Productions'],"['Romance', 'Comedy']"
Archive,"2038: George Almore is working on a true human-equivalent AI, and his latest prototype is almost ready. This sensitive phase is also the riskiest as he has a goal that must be hidden at all costs—being reunited with his dead wife.",2020-08-13,6.2,605,109,0,243279,18.704,"['United Kingdom', 'Hungary', 'United States of America']","['Independent', 'Hero Squared', 'Head Gear Films', 'Metrol Technology', 'Untapped', 'Quickfire Films', 'Lipsync Productions', 'XYZ Films']","['Science Fiction', 'Drama', 'Fantasy', 'Thriller']"
"Love, Guaranteed",A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,2020-09-02,6.419,604,91,0,0,12.319,['United States of America'],[],"['Romance', 'Comedy']"
Alone,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",2020-09-10,6.323,601,98,0,0,24.275,['United States of America'],"['Mill House Motion Pictures', 'Paperclip', 'With XYZfilms']","['Thriller', 'Horror']"
Like a Boss,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",2020-01-09,6.305,598,83,29000000,26925979,19.733,['United States of America'],"['Artists First', 'Paramount']",['Comedy']
One Night in Miami...,"In the aftermath of Cassius Clay's defeat of Sonny Liston in 1964, the boxer meets with Malcolm X, Sam Cooke and Jim Brown to change the course of history in the segregated South.",2020-12-25,7.058,596,114,0,0,11.953,['United States of America'],"['Snoot Entertainment', 'ABKCO Films', 'Amazon Studios']",['Drama']
